UF;Ano;RCL ano Anterior;Perc. RCl;Montante Pendente;Montante pago;Saldo após pagamento;Montante expedido ;Divida final;;TOTAL (ÚLTIMOS 12 MESES);RECEITA CORRENTE LÍQUIDA (III) = (I - II);;;;
MT;2020; 17.154.484.294,75 ;1,5%; 1.088.846.765,41 ; 134.138.909,73 ; 955.286.263,25 ; 78.176.691,34 ; 1.033.462.954,59 ;;;;;;;
MS;2020; 12.012.249.489,57 ;1,5%; 616.682.092,85 ; 207.155.988,44 ; 418.789.321,51 ; 53.677.308,16 ; 472.466.629,67 ;;;;;;;
MG;2020; 64.068.169.194,30 ;2,0%; 4.951.179.598,76 ; 662.116.238,13 ; 4.318.125.715,96 ; 385.509.026,90 ; 4.703.634.742,86 ;;;;;;;
PA;2020; 21.690.571.870,28 ;1,5%; 158.407.824,96 ; 92.942.564,54 ; 66.097.513,73 ; 57.586.126,03 ; 123.683.639,76 ;;;;;;;
PB;2020; 10.245.829.093,49 ;1,5%; 2.947.941.816,38 ; 105.927.132,21 ; 3.341.908.307,02 ; 137.365.236,77 ; 3.479.273.543,79 ;;;;;;;
PR;2020; 38.935.917.232,07 ;2,0%; 8.541.260.838,32 ; 2.246.250.924,31 ; 6.549.475.753,04 ; 369.105.749,38 ; 6.918.581.502,42 ;;;;;;;
PE;2020; 25.340.299.465,22 ;1,5%; 472.141.925,86 ; 167.772.627,38 ; 395.063.544,59 ; 25.369.000,52 ; 420.432.545,11 ;;;;;;;
PI;2020; 9.470.871.217,32 ;1,5%; 1.602.511.006,81 ; 100.633.998,55 ; 1.569.209.923,55 ; 155.266.000,82 ; 1.724.475.924,37 ;;;;;;;
RJ;2020; 58.566.003.981,00 ;2,0%; 4.777.117.187,83 ; 541.879.235,52 ; 4.652.819.110,36 ; 2.092.825.098,37 ; 6.745.644.208,73 ;;;;;;;
RN;2020; 10.177.730.528,14 ;1,5%; 956.620.422,08 ; 107.569.119,54 ; 766.361.385,49 ; 366.551.340,67 ; 1.132.912.726,16 ;;;;;;;
RS;2020; 39.779.435.776,47 ;2,0%; 15.606.091.433,48 ; 480.640.665,41 ; 14.899.215.962,22 ; 681.864.818,69 ; 15.581.080.780,91 ;;;;;;;
RO;2020; 7.743.045.299,48 ;1,5%; 2.317.561.809,80 ; 82.250.082,02 ; 2.285.260.748,05 ; 40.783.529,39 ; 2.326.044.277,44 ;;;;;;;
RR;2020; 4.200.526.038,83 ;1,5%; 141.096.386,23 ; 33.694.767,80 ; 107.323.209,94 ; 107.341.654,42 ; 214.664.864,36 ;;;;;;;
SC;2020; 25.092.129.460,15 ;2,0%; 2.138.892.716,63 ; 404.488.909,22 ; 1.943.376.041,67 ; 293.067.160,70 ; 2.236.443.202,37 ;;;;;;;
SP;2020; 160.444.552.836,55 ;2,0%; 28.859.934.512,91 ; 4.795.999.071,59 ; 25.292.169.140,87 ; 3.839.314.267,09 ; 29.131.483.407,96 ;;;;;;;
SE;2020; 8.053.614.115,00 ;1,5%; 663.315.700,94 ; 54.738.241,93 ; 614.365.378,51 ; 514.853.570,79 ; 1.129.218.949,30 ;;;;;;;
TO;2020; 8.015.429.038,52 ;1,5%; 384.402.197,35 ; 86.967.012,46 ; 302.991.593,87 ; 37.981.563,96 ; 340.973.157,83 ;;;;;;;
AC;2021; 5.702.871.320,41 ;1,5%; 245.173.896,94 ; 36.909.131,73 ; 222.821.691,39 ; 21.031.206,54 ; 243.852.897,93 ;;;;;;;
AL;2021; 10.059.495.938,65 ;1,5%; -   ; -   ; -   ; -   ; -   ;;;;;;;
AP;2021; 6.301.875.689,02 ;1,5%; 338.801.152,04 ; 110.332.524,38 ; 213.394.460,48 ; 84.105.799,78 ; 297.500.260,26 ;;;;;;;
AM;2021; 16.459.910.905,99 ;1,5%; -   ; -   ; -   ; -   ; -   ;;;;;;;
BA;2021; 37.877.609.907,56 ;1,5%; 5.370.805.013,23 ; 987.035.759,61 ; 4.859.543.627,82 ; 229.893.002,52 ; 5.089.436.630,34 ;;;;;;;
CE;2021; 22.028.314.984,46 ;1,5%; 553.943.218,05 ; 84.999.019,51 ; 535.579.358,95 ; 192.433.084,28 ; 728.012.443,23 ;;;;;;;
